restaurant,reviewer,review,rating,metadata,time,review_count,follower_count,char_count,word_count,clean_review,tokens,lexical_diversity,repetition_ratio,adj_ratio,noun_ratio,verb_ratio,superlative_count,exclamation_count,flesch_reading_ease,neg,neu,pos,compound
The Foodie Monster Kitchen,Smriti S Kumar,I specially mentioned in message to fry that scrambled eggs properly till crispy brown but they gave it as it is. it wasnt cooked properly.,3.0,"5 Reviews , 1 Follower",2018-07-13 10:36:00,5.0,1.0,139.0,25.0,I specially mentioned in message to fry that scrambled eggs properly till crispy brown but they gave it as it is. it wasnt cooked properly.,"['specially', 'mention', 'message', 'fry', 'scramble', 'egg', 'properly', 'till', 'crispy', 'brown', 'give', 'cook', 'properly']",0.9230769230769232,0.0769230769230768,0.0,0.1428571428571428,0.1785714285714285,0.0,0.0,72.32350000000002,0.0,1.0,0.0,0.0
Beyond Flavours,Ppck2412,"Food is descent enough. Desert options were also good
Starrers were also tasty.
One bad experience ee had is waiting time even though we booked table prior time.",4.0,"3 Reviews , 3 Followers",2019-05-20 12:11:00,3.0,3.0,161.0,28.0,Food is descent enough. Desert options were also good Starrers were also tasty. One bad experience ee had is waiting time even though we booked table prior time.,"['food', 'descent', 'enough', 'desert', 'option', 'also', 'good', 'starrer', 'also', 'tasty', 'one', 'bad', 'experience', 'ee', 'wait', 'time', 'even', 'though', 'book', 'table', 'prior', 'time']",0.9090909090909092,0.0909090909090909,0.1290322580645161,0.3225806451612903,0.0967741935483871,0.0,0.0,67.4402380952381,0.108,0.802,0.09,-0.1531
Karachi Cafe,Vignesh Rk,"This place has a really aesthetic ambiance starting from the vintage design to the 60-70s music that plays in the background.
We ordered the famous Irani chai with a bunch of onion samosa, fries and a pasta sandwich.

This place serves one of the best Irani Chai that i have had in hyderabad. The onion samosa takes me back to my childhood days when we used to buy them at small shops for a rupee or so. They tasted amazing here. I wouldn't recommend getting the chai ir samosa delivered at all. Kills the taste completely. These needs to be had hot and getting it delivered will definitely disappoint.

Talking about the fries, i wouldn't say they were amazing but they sure weren't bad. We did not like the Pasta sandwich. This item wouldn't be something that i would recommend.

This place would remain one of my favorite spots to hangout at.

(Could be a little cleaner though)",4.0,"13 Reviews , 67 Followers",2019-05-11 12:02:00,13.0,67.0,881.0,158.0,"This place has a really aesthetic ambiance starting from the vintage design to the 60-70s music that plays in the background. We ordered the famous Irani chai with a bunch of onion samosa, fries and a pasta sandwich. This place serves one of the best Irani Chai that i have had in hyderabad. The onion samosa takes me back to my childhood days when we used to buy them at small shops for a rupee or so. They tasted amazing here. I wouldn't recommend getting the chai ir samosa delivered at all. Kills the taste completely. These needs to be had hot and getting it delivered will definitely disappoint. Talking about the fries, i wouldn't say they were amazing but they sure weren't bad. We did not like the Pasta sandwich. This item wouldn't be something that i would recommend. This place would remain one of my favorite spots to hangout at. (Could be a little cleaner though)","['place', 'really', 'aesthetic', 'ambiance', 'start', 'vintage', 'design', '60', '70', 'music', 'play', 'background', 'order', 'famous', 'irani', 'chai', 'bunch', 'onion', 'samosa', 'fry', 'pasta', 'sandwich', 'place', 'serve', 'one', 'good', 'irani', 'chai', 'hyderabad', 'onion', 'samosa', 'take', 'back', 'childhood', 'day', 'use', 'buy', 'small', 'shop', 'rupee', 'taste', 'amazing', 'would', 'recommend', 'get', 'chai', 'ir', 'samosa', 'deliver', 'kill', 'taste', 'completely', 'need', 'hot', 'get', 'deliver', 'definitely', 'disappoint', 'talk', 'fry', 'would', 'say', 'amazing', 'sure', 'bad', 'like', 'pasta', 'sandwich', 'item', 'would', 'something', 'would', 'recommend', 'place', 'would', 'remain', 'one', 'favorite', 'spot', 'hangout', 'could', 'little', 'clean', 'though']",0.75,0.25,0.0611111111111111,0.1888888888888888,0.1388888888888889,1.0,0.0,76.16593476144111,0.065,0.797,0.138,0.9074
Royal Spicy Restaurant,Chakradhar Koduru,I ordered boneless chicken biryani and food was not at all hot and it smelled like it was cooked long back. Worst experience. Not going to order again from this restaurant.,1.0,"11 Reviews , 3 Followers",2019-03-25 16:28:00,11.0,3.0,172.0,31.0,I ordered boneless chicken biryani and food was not at all hot and it smelled like it was cooked long back. Worst experience. Not going to order again from this restaurant.,"['order', 'boneless', 'chicken', 'biryani', 'food', 'hot', 'smell', 'like', 'cook', 'long', 'back', 'bad', 'experience', 'go', 'order', 'restaurant']",0.9375,0.0625,0.0588235294117647,0.1764705882352941,0.1470588235294117,1.0,0.0,76.48314516129035,0.118,0.809,0.072,-0.3818
Shah Ghouse Spl Shawarma,Samrat Ghosh,For the first time when I has shawarma here it was great and thought of ordering it again... but the issue with these kind of places is that they just serve good food until they are famous and once done the quality descends drastically... the best shawarma I had is at SK Shawarma DLF and other opposite to food bazar nizampet...,1.0,"14 Reviews , 74 Followers",2019-02-28 13:54:00,14.0,74.0,329.0,61.0,For the first time when I has shawarma here it was great and thought of ordering it again... but the issue with these kind of places is that they just serve good food until they are famous and once done the quality descends drastically... the best shawarma I had is at SK Shawarma DLF and other opposite to food bazar nizampet...,"['first', 'time', 'shawarma', 'great', 'think', 'order', 'issue', 'kind', 'place', 'serve', 'good', 'food', 'famous', 'quality', 'descend', 'drastically', 'good', 'shawarma', 'sk', 'shawarma', 'dlf', 'opposite', 'food', 'bazar', 'nizampet']",0.84,0.16,0.09375,0.21875,0.109375,1.0,0.0,73.85896174863392,0.0,0.821,0.179,0.9217
13 Dhaba,Mayank,The overall taste is good and I recommend Paneer Thali which is both reasonable and yummy. But if you order paranthas then the North Indian taste that a parantha has is little missing. Overall combos are good and Thali's too are nice option to go for.,3.0,"9 Reviews , 6 Followers",2018-09-30 23:31:00,9.0,6.0,251.0,46.0,The overall taste is good and I recommend Paneer Thali which is both reasonable and yummy. But if you order paranthas then the North Indian taste that a parantha has is little missing. Overall combos are good and Thali's too are nice option to go for.,"['overall', 'taste', 'good', 'recommend', 'paneer', 'thali', 'reasonable', 'yummy', 'order', 'parantha', 'north', 'indian', 'taste', 'parantha', 'little', 'missing', 'overall', 'combo', 'good', 'thali', ""'s"", 'nice', 'option', 'go']",0.7916666666666666,0.2083333333333333,0.2,0.16,0.1,0.0,0.0,68.0499275362319,0.044,0.706,0.25,0.8776
Paradise,Sk Saleem,"Tasty food with good service , enjoyed a lot at paradise, quick response from the providers , fast delivery,tasty food ,good place ,good for economic people",5.0,1 Review,2019-05-25 14:54:00,1.0,,156.0,26.0,"Tasty food with good service , enjoyed a lot at paradise, quick response from the providers , fast delivery,tasty food ,good place ,good for economic people","['tasty', 'food', 'good', 'service', 'enjoy', 'lot', 'paradise', 'quick', 'response', 'provider', 'fast', 'delivery', 'tasty', 'food', 'good', 'place', 'good', 'economic', 'people']",0.7894736842105263,0.2105263157894736,0.2580645161290322,0.3225806451612903,0.032258064516129,0.0,0.0,45.00000000000003,0.0,0.526,0.474,0.9451
Hyderabadi Daawat,Unsophisticated Foodies,"The name is a giveaway here! This place specialises in Hyderabadi cusinie and we were here for a food review session.
Ambience- Decent with ample space. It's a fine dine place you can visit with your family.
Food- This place has lots of splendid non vegetarian options but being a vegetarian, my review revolves around their veg food and beverages.

The food was well prepared and presented overall. I liked the achari paneer tikka in starters. Shahi paneer was my favourite among the main course that went well with their mix roti Basket. Two of my favourite beverages from the evening were Caramel Mojito and Lemon Mint.

The menu is vast and really reasonable. Do not miss this place if you like Hyderabadi cusinie. Even if you're not a fan, do give them a chance as they have a lot to offer at really humble rates.

Follow Unsophisticated Foodies on Instagram and Facebook for more reviews and pictures :)",4.0,"205 Reviews , 1646 Followers",2018-10-31 23:02:00,205.0,1646.0,909.0,159.0,"The name is a giveaway here! This place specialises in Hyderabadi cusinie and we were here for a food review session. Ambience- Decent with ample space. It's a fine dine place you can visit with your family. Food- This place has lots of splendid non vegetarian options but being a vegetarian, my review revolves around their veg food and beverages. The food was well prepared and presented overall. I liked the achari paneer tikka in starters. Shahi paneer was my favourite among the main course that went well with their mix roti Basket. Two of my favourite beverages from the evening were Caramel Mojito and Lemon Mint. The menu is vast and really reasonable. Do not miss this place if you like Hyderabadi cusinie. Even if you're not a fan, do give them a chance as they have a lot to offer at really humble rates. Follow Unsophisticated Foodies on Instagram and Facebook for more reviews and pictures :)","['name', 'giveaway', 'place', 'specialise', 'hyderabadi', 'cusinie', 'food', 'review', 'session', 'ambience-', 'decent', 'ample', 'space', 'fine', 'dine', 'place', 'visit', 'family', 'food-', 'place', 'lot', 'splendid', 'non', 'vegetarian', 'option', 'vegetarian', 'review', 'revolve', 'around', 'veg', 'food', 'beverage', 'food', 'well', 'prepared', 'present', 'overall', 'like', 'achari', 'paneer', 'tikka', 'starter', 'shahi', 'paneer', 'favourite', 'among', 'main', 'course', 'go', 'well', 'mix', 'roti', 'basket', 'two', 'favourite', 'beverage', 'evening', 'caramel', 'mojito', 'lemon', 'mint', 'menu', 'vast', 'really', 'reasonable', 'miss', 'place', 'like', 'hyderabadi', 'cusinie', 'even', 'fan', 'give', 'chance', 'lot', 'offer', 'really', 'humble', 'rate', 'follow', 'unsophisticated', 'foodies', 'instagram', 'facebook', 'review', 'picture']",0.8023255813953488,0.1976744186046511,0.0685714285714285,0.3085714285714285,0.0742857142857142,0.0,1.0,69.20517526777023,0.0,0.638,0.362,0.9695
Mohammedia Shawarma,Saioni Sen,shawarma is too small,3.0,"6 Reviews , 8 Followers",2018-11-20 21:27:00,6.0,8.0,21.0,4.0,shawarma is too small,"['shawarma', 'small']",1.0,0.0,0.25,0.25,0.0,0.0,0.0,97.025,0.061,0.865,0.074,0.1265
Tandoori Food Works,Parijat Ray,Food quality is too good. We have ordered fish tikka and paneer Mali tikka. Both of them were better than experience. Waiting time is too high. I felt the quantity is too less compared to the price.,3.0,"146 Reviews , 333 Followers",2019-01-31 22:48:00,146.0,333.0,198.0,37.0,Food quality is too good. We have ordered fish tikka and paneer Mali tikka. Both of them were better than experience. Waiting time is too high. I felt the quantity is too less compared to the price.,"['food', 'quality', 'good', 'order', 'fish', 'tikka', 'paneer', 'mali', 'tikka', 'well', 'experience', 'wait', 'time', 'high', 'feel', 'quantity', 'less', 'compare', 'price']",0.9473684210526316,0.0526315789473684,0.0952380952380952,0.238095238095238,0.119047619047619,0.0,0.0,80.42670270270271,0.0,0.854,0.146,0.7003
