restaurant,reviewer,review,rating,metadata,time,review_count,follower_count,char_count,word_count,clean_review,tokens,lexical_diversity,repetition_ratio,adj_ratio,noun_ratio,verb_ratio,superlative_count,exclamation_count,flesch_reading_ease,neg,neu,pos,compound
Beyond Flavours,Saubhagya Bhuyan,The service was great and the food was awesome. The service staff Manab and Papiya were very courteous and attentive. I would like to come frequently to this place,5.0,"1 Review , 1 Follower",2019-05-22 22:22:00,1,1,163.0,29.0,The service was great and the food was awesome. The service staff Manab and Papiya were very courteous and attentive. I would like to come frequently to this place,"['service', 'great', 'food', 'awesome', 'service', 'staff', 'manab', 'papiya', 'courteous', 'attentive', 'would', 'like', 'come', 'frequently', 'place']",0.9333333333333333,0.06666666666666665,0.12903225806451613,0.22580645161290322,0.06451612903225806,0.0,0.0,77.41643678160922,0.0,0.627,0.373,0.9359
Beyond Flavours,Srivaths07,"Very good ambience, amazing food ,good service and friendly staff - Pradeep, Papiya and Shuvro :) will definitely visit again! And loved the design of their menu card.",5.0,"3 Reviews , 1 Follower",2019-05-22 21:43:00,3,1,167.0,28.0,"Very good ambience, amazing food ,good service and friendly staff - Pradeep, Papiya and Shuvro :) will definitely visit again! And loved the design of their menu card.","['good', 'ambience', 'amazing', 'food', 'good', 'service', 'friendly', 'staff', 'pradeep', 'papiya', 'shuvro', 'definitely', 'visit', 'love', 'design', 'menu', 'card']",0.9411764705882353,0.05882352941176472,0.12121212121212122,0.3333333333333333,0.06060606060606061,0.0,1.0,56.97846153846157,0.0,0.459,0.541,0.9737
Beyond Flavours,Kunj Mishra,Food was very good. Soup was as expected. In starters we ordered honey chilli lotus stem and that is a must try for vegan ppl. Service was great. Frequent visits from Papiya to know our experience and also about the food was really impressive.,5.0,"1 Review , 1 Follower",2019-05-22 21:29:00,1,1,243.0,44.0,Food was very good. Soup was as expected. In starters we ordered honey chilli lotus stem and that is a must try for vegan ppl. Service was great. Frequent visits from Papiya to know our experience and also about the food was really impressive.,"['food', 'good', 'soup', 'expect', 'starter', 'order', 'honey', 'chilli', 'lotus', 'stem', 'must', 'try', 'vegan', 'ppl', 'service', 'great', 'frequent', 'visit', 'papiya', 'know', 'experience', 'also', 'food', 'really', 'impressive']",0.96,0.040000000000000036,0.08163265306122448,0.2857142857142857,0.08163265306122448,0.0,0.0,72.9257272727273,0.0,0.786,0.214,0.8976
Beyond Flavours,Pradeep Vetapalem,Food is too good. Telangana kodiak fry is must try.Mutton biriyani is too good.Papiya helped to choose best dishes and attended very well.Must visit.,5.0,"2 Reviews , 25 Followers",2019-05-22 21:21:00,2,25,149.0,24.0,Food is too good. Telangana kodiak fry is must try.Mutton biriyani is too good.Papiya helped to choose best dishes and attended very well.Must visit.,"['food', 'good', 'telangana', 'kodiak', 'fry', 'must', 'try', 'mutton', 'biriyani', 'good', 'papiya', 'help', 'choose', 'good', 'dish', 'attend', 'well', 'must', 'visit']",0.8421052631578947,0.1578947368421053,0.09375,0.25,0.15625,1.0,0.0,70.32,0.0,0.756,0.244,0.7964
Beyond Flavours,Kankaria.ritu,"We ordered corn cheese balls, manchow soup and paneer shashlik sizzler. The sizzler was stale. Paneer was smelling and the waiter was so impolite to even accept the mistake. Never going again",1.0,1 Review,2019-05-22 21:19:00,1,,191.0,32.0,"We ordered corn cheese balls, manchow soup and paneer shashlik sizzler. The sizzler was stale. Paneer was smelling and the waiter was so impolite to even accept the mistake. Never going again","['order', 'corn', 'cheese', 'ball', 'manchow', 'soup', 'paneer', 'shashlik', 'sizzler', 'sizzler', 'stale', 'paneer', 'smell', 'waiter', 'impolite', 'even', 'accept', 'mistake', 'never', 'go']",0.9,0.09999999999999998,0.08333333333333333,0.3055555555555556,0.1111111111111111,0.0,0.0,69.17125000000001,0.154,0.776,0.07,-0.4882
Beyond Flavours,Abhay Sharma,Food and ambience is fantastic.. Waiter Manav Maji was really quick in his service.. Cheese Balls is a must try starter as it was very scrumptious,5.0,"4 Reviews , 7 Followers",2019-05-22 20:38:00,4,7,146.0,26.0,Food and ambience is fantastic.. Waiter Manav Maji was really quick in his service.. Cheese Balls is a must try starter as it was very scrumptious,"['food', 'ambience', 'fantastic', 'waiter', 'manav', 'maji', 'really', 'quick', 'service', 'cheese', 'balls', 'must', 'try', 'starter', 'scrumptious']",1.0,0.0,0.10714285714285714,0.32142857142857145,0.03571428571428571,0.0,0.0,74.39217948717952,0.0,0.876,0.124,0.5256
Beyond Flavours,Shubham Jaiswal,"Came here for lunch and the food was good and tasty. We tried buffet and all the items in veg and non-veg were tasty.

The ambience and service were also good, and the staff were courteous.

shubhamtraveltales.wordpress.com",4.0,"30 Reviews , 34 Followers",2019-05-22 19:54:00,30,34,223.0,37.0,"Came here for lunch and the food was good and tasty. We tried buffet and all the items in veg and non-veg were tasty. The ambience and service were also good, and the staff were courteous. shubhamtraveltales.wordpress.com","['come', 'lunch', 'food', 'good', 'tasty', 'try', 'buffet', 'item', 'veg', 'non', 'veg', 'tasty', 'ambience', 'service', 'also', 'good', 'staff', 'courteous', 'shubhamtraveltales.wordpress.com']",0.8421052631578947,0.1578947368421053,0.16279069767441862,0.23255813953488372,0.046511627906976744,0.0,0.0,73.13288288288288,0.0,0.789,0.211,0.8442
Beyond Flavours,Srijani Mukherjee,The best thing about this place is the food. My favorite go to dish here is definitely Alfredo Pasta although other items are good as well. And the service and behavior of the staff is top-notch. We we're attended by Mr. Soumen Das and he was extremely polite. Will definitely visit soon.,5.0,"6 Reviews , 267 Followers",2019-05-22 19:47:00,6,267,288.0,52.0,The best thing about this place is the food. My favorite go to dish here is definitely Alfredo Pasta although other items are good as well. And the service and behavior of the staff is top-notch. We we're attended by Mr. Soumen Das and he was extremely polite. Will definitely visit soon.,"['good', 'thing', 'place', 'food', 'favorite', 'go', 'dish', 'definitely', 'alfredo', 'pasta', 'although', 'item', 'good', 'well', 'service', 'behavior', 'staff', 'top', 'notch', 'attend', 'mr.', 'soumen', 'das', 'extremely', 'polite', 'definitely', 'visit', 'soon']",0.9285714285714286,0.0714285714285714,0.1,0.21666666666666667,0.06666666666666667,1.0,0.0,71.13833333333336,0.0,0.723,0.277,0.9485
Beyond Flavours,Hari Jangam,Polite and friendly staff. Nice ambience and good spread of menu. Drinks are awesome. Service is very good by manav... looking forward to seeing it again...,5.0,"1 Review , 1 Follower",2019-05-22 15:13:00,1,1,156.0,26.0,Polite and friendly staff. Nice ambience and good spread of menu. Drinks are awesome. Service is very good by manav... looking forward to seeing it again...,"['polite', 'friendly', 'staff', 'nice', 'ambience', 'good', 'spread', 'menu', 'drink', 'awesome', 'service', 'good', 'manav', 'look', 'forward', 'see']",0.9375,0.0625,0.1935483870967742,0.22580645161290322,0.06451612903225806,0.0,0.0,74.65700000000002,0.0,0.569,0.431,0.9423
Beyond Flavours,Suneet Soni,"Food is really good. We had vegetarian items including paneer, mushroom and kofta. Additionally service from Papiya , Shuvro was really good.",5.0,"1 Review , 33 Followers",2019-05-21 22:08:00,1,33,141.0,22.0,"Food is really good. We had vegetarian items including paneer, mushroom and kofta. Additionally service from Papiya , Shuvro was really good.","['food', 'really', 'good', 'vegetarian', 'item', 'include', 'paneer', 'mushroom', 'kofta', 'additionally', 'service', 'papiya', 'shuvro', 'really', 'good']",0.8666666666666667,0.1333333333333333,0.11538461538461539,0.3076923076923077,0.07692307692307693,0.0,0.0,38.58714285714291,0.0,0.748,0.252,0.7496
