topic,n_docs,top_words,avg_compound
0,957,"the, and, was, to, is, of, good, for, food, it",0.4783851464435146
1,24,"good, ok, excellent, just, its, not, , , , ",0.3920041666666667
2,12,"hhjkfhjjj, gud, waste, , , , , , , ",-0.00886666666666668
